Sheikh Iqbal Ahamed, GWC 328
Donald Alpert, GWC 384
Chitta Baral, GWC 366
Rida Bazzi, GWC 336
Sourav Bhattacharya, GWC 221
Selcuk Candan, GWC 370
Yinong Chen, GWC 228
James Collofello, GWC 310
Joseph DeLibero, GWC 382
Suzanne Dietrich, GWC 368
Leonard Faltz, GWC 314
Gerald Farin, GWC 340
Nicholas Findler, GWC 311
Barbara Gannod, GWC 378
Gerald Gannod, GWC 324
Sumit Ghosh, GWC 206
Forouzan Golshani, GWC 351
Sandeep Gupta, GWC 224A
Ben Huey, GWC 374
Lance Johnson, GWC 354
Subbarao Kambhampati, GWC 374
Goran Konjevod, GWC 312
Yann-Hang Lee, GWC 224B
Huan Liu, GWC 342
Stephanie Ludi, GWC 376
Donald Miller, GWC 348
Mutsumi Nakamura, GWC 376
Faye Navabi, GWC 380
Gregory Nielson, GWC 338
Pearse O'Grady, GWC 206
David Pheanis, GWC 318
Perry Reinert, GWC 322
Andrea Richa, GWC 344
Chuck Riden, GWC 382
Mouli Subramanian, GWC 228
Wei-Tek Tsai, GWC 356
Renee Turban, GWC 328
Joseph Urban, GWC 358
Susan Urban, GWC 372
Richard Whitehouse, GWC 322
Stephen Yau, GWC206
